Address,Beds,Baths,Price,SquareFoot,href,img
"70 81st Street, Brooklyn, NY 11209",4bd,4ba,3200000,2950,https://www.trulia.com/home/70-81st-st-brooklyn-ny-11209-142959190,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/afb9dc97941b05e4a066c7ed1e2cadc8-full.jpg
"503 Hegeman Avenue, Brooklyn, NY 11207",8bd,4ba,599000,Undisclosed,https://www.trulia.com/home/503-hegeman-ave-brooklyn-ny-11207-30646598,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ec30c1ce1530f52a99a43b88c3c52703-full.jpg
"9614 Shore Front Parkway, Rockaway Beach, NY 11693",6bd,5ba,1258500,3000,https://www.trulia.com/home/9614-shore-front-pkwy-rockaway-beach-ny-11693-64610413,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/7e8331de9ca27ab41a5910bfad6770b6-full.jpg
"426 E 159th Street, Bronx, NY 10451",5bd,4ba,998900,3132,https://www.trulia.com/home/426-e-159th-st-bronx-ny-10451-62635384,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/3cecb9252d3152551f2afcf2b0b4558c-full.jpg
"2115 Harrison Avenue, Bronx, NY 10453",3bd,1ba,530000,1320,https://www.trulia.com/home/2115-harrison-ave-bronx-ny-10453-29786394,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/b0163cf3cecd4ed46b5e976596e09632-full.jpg
"644 Eagle Ave, Bronx, NY 10455",3bd,2ba,465000,Undisclosed,https://www.trulia.com/home/644-eagle-ave-bronx-ny-10455-29778921,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/5507303a0df7c55fa9bf8bd709b857a6-full.jpg
"270 Schaefer Street, Brooklyn, NY 11237",9bd,4ba,1800000,Undisclosed,https://www.trulia.com/home/270-schaefer-st-brooklyn-ny-11237-30630571,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/94c7f0264ee3ce6f350867e961f81354-full.jpg
"67 Trantor Pl, Staten Island, NY 10302",3bd,1ba,499998,1522,https://www.trulia.com/home/67-trantor-pl-staten-island-ny-10302-32298159,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/86e6c175ee60408eaee68e0334983df0-full.jpg
"28 Northfield Ct, Staten Island, NY 10303",2bd,2ba,299888,1138,https://www.trulia.com/home/28-northfield-ct-staten-island-ny-10303-32301100,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/eb75c8278060d2009a46646ec926e8ea-full.jpg
"103-26 68 Ave UNIT 2d, Forest Hills, NY 11375",1bd,1ba,328888,Undisclosed,https://www.trulia.com/home/10326-68th-ave-2d-forest-hills-ny-11375-245372787,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/1ae7b7a206d625988eb1aeda4582e728-full.jpg
"257 Van Name Ave, Staten island, NY 10303",3bd,3ba,549000,1584,https://www.trulia.com/home/257-van-name-ave-staten-island-ny-10303-143715448,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/b3c5742f0084266c137ec6254ec584c2-full.jpg
"1460-1460A 71st St, Brooklyn, NY 11228",4bd,3ba,2598000,3628,https://www.trulia.com/home/1460-1460a-71st-st-brooklyn-ny-11228-343548840,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/cf1b8f3954f20333cb2a1a81a3ea7fe4-full.jpg
"160 Fordham St, Bronx, NY 10464",6bd,7ba,1625000,3000,https://www.trulia.com/home/160-fordham-st-bronx-ny-10464-343535673,https://maps.googleapis.com/maps/api/streetview?size=640x480&location=160%20Fordham%20St%2C%20Bronx%2C%20NY%2C%2010464%20Bronx%20NY%2010464&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=2c0UuPZ4GnFvLmljnCevk5cyDXM%3D
"104-11 92nd Ave, Richmond Hill, NY 11418",4bd,1ba,670000,2500,https://www.trulia.com/home/104-11-92nd-ave-richmond-hill-ny-11418-2062958837,https://maps.googleapis.com/maps/api/streetview?size=640x480&location=104-11%2092nd%20Ave%2C%20Richmond%20Hill%2C%20NY%2C%2011418%20Richmond%20Hill%20NY%2011418&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=P0C7fNFrFD0cHqLAwuxrhOB49C4%3D
"Residence 605 Plan in One Wall Street, New York, NY 10005",2bd,2ba,2550000,1246,https://www.trulia.com/builder-community-plan/One-Wall-Street-Residence-605-2061571636,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/3fe928e8a103eb40860a9cf88975110d-full.jpg
"2015 Saint Paul Ave UNIT 6B, Bronx, NY 10461",Studio,1ba,129900,500,https://www.trulia.com/home/2015-saint-paul-ave-6b-bronx-ny-10461-215952119,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/2e1d7a650aab7c754544b6572fcdc516-full.jpg
"297 E 40th Street, Brooklyn, NY 11203",4bd,3ba,975000,1400,https://www.trulia.com/home/297-e-40th-st-brooklyn-ny-11203-30659761,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/2a8098fb1130a801890687d327eda78f-full.jpg
"108-02 Ditmars Boulevard, Flushing, NY 11369",5bd,3ba,1398000,2200,https://www.trulia.com/home/10802-ditmars-blvd-flushing-ny-11369-31968816,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/386609c23a9734ea4834d6a6d5ddd4c1-full.jpg
"42-23 162nd Street, Flushing, NY 11358",12bd,7ba,2550000,5270,https://www.trulia.com/home/4223-162nd-st-flushing-ny-11358-32046428,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/f43ff1772a8c0b91ed4b3044db0beac2-full.jpg
"18 Atmore Pl, Staten Island, NY 10306",2bd,2ba,688888,1210,https://www.trulia.com/home/18-atmore-pl-staten-island-ny-10306-32340473,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/473ea89fd00424414d4151fd7c5c11b7-full.jpg
"530 Ellsworth Avenue, Bronx, NY 10465",2bd,2ba,410000,890,https://www.trulia.com/home/530-ellsworth-ave-bronx-ny-10465-62635891,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/c5e51515abcca22f8537cc115b1ad281-full.jpg
"4666 189th St, Flushing, NY 11358",3bd,3ba,1030000,1500,https://www.trulia.com/home/4666-189th-st-flushing-ny-11358-32051215,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/ff5e15f38ac517076dcf738d2b0a4785-full.jpg
"62-10 102nd Street, Flushing, NY 11374",8bd,5ba,1450000,Undisclosed,https://www.trulia.com/home/6210-102nd-st-flushing-ny-11374-31977292,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/a62d97647537c9ce5dbe31b9b76cef14-full.jpg
"42-18 147th Street UNIT 4A, Flushing, NY 11355",1bd,1ba,618000,620,https://www.trulia.com/home/42-18-147th-st-4a-flushing-ny-11355-2064131593,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/13746114dbe73a21b6a38a656296e52d-full.jpg
"36-30 213 Street UNIT 2 A, Bayside, NY 11361",1bd,1ba,249000,Undisclosed,https://www.trulia.com/home/36-30-213th-st-2a-bayside-ny-11361-343496534,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/24c10a0acd908ea79747bf4b58883f8e-full.jpg
"Willard Ave, Staten Island, NY 10314",Undisclosed,Undisclosed,1199000,Undisclosed,https://www.trulia.com/home/0-Willard-Ave-Staten-Island-NY-10314-2054469662,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/0f700a3a526c166f97e5000478dea0c9-full.jpg
"10119 113th St, Jamaica, NY 11419",4bd,2ba,880000,1492,https://www.trulia.com/home/10119-113th-st-jamaica-ny-11419-32122505,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/21dd71f4d06e8e34bdcb18995564918a-full.jpg
"32-40 89 Street UNIT 208, East Elmhurst, NY 11369",2bd,1ba,329900,903,https://www.trulia.com/home/32-40-89th-st-208-east-elmhurst-ny-11369-2066831838,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/41e9fc10059fae55870dba4b5235cb80-full.jpg
"627 Dekalb Avenue UNIT 5E, Brooklyn, NY 11216",1bd,1ba,675000,593,https://www.trulia.com/home/627-dekalb-ave-5e-brooklyn-ny-11216-338703412,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/3afc086665d08ef3aa82c032ffba626c-full.jpg
"4625 Bell Boulevard, Bayside, NY 11361",4bd,3ba,1399000,Undisclosed,https://www.trulia.com/home/4625-bell-blvd-bayside-ny-11361-2123494263,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/1fabcfee7ff46f94730c9bbc8d705aa3-full.jpg
"Residence 2308 Plan in One Wall Street, New York, NY 10005",3bd,3ba,3815000,1510,https://www.trulia.com/builder-community-plan/One-Wall-Street-Residence-2308-2061571632,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/c53494782766a22bee3f7de67fd7cd29-full.jpg
"80-19 246th Street, Jamaica, NY 11426",4bd,1ba,749000,Undisclosed,https://www.trulia.com/home/8019-246th-st-jamaica-ny-11426-32098948,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/386c4dbeea47cdc42af63555e4ea6d35-full.jpg
"1560 Unionport Road UNIT 3H, Bronx, NY 10462",2bd,1ba,269999,765,https://www.trulia.com/home/1560-unionport-rd-3h-bronx-ny-10462-29807749,https://www.trulia.com/pictures/thumbs_4/zillowstatic/fp/85dacf754f9f734fb3d64d37ac37dfec-full.jpg
